path	type	category	risk	retention_policy	size_bytes	age_days	note
backups/faz3_10_5b_erp_runtime_ledger_posting_orchestrator_default_impl_20260426_065221/ledgerpost_before_default_impl.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	3495	3	backup_retention_review_no_delete
backups/faz3_10_5c_erp_runtime_ledger_posting_postgres_store_20260426_065421	dir	db_backup_candidate	HIGH	review_db_dump	-1	3	db_backup_or_volume_review_no_restore
backups/faz3_10_5c_erp_runtime_ledger_posting_postgres_store_20260426_065421/ledgerpost_before_postgres_store.tar.gz	file	db_backup_candidate	HIGH	review_db_dump	4780	3	db_backup_or_volume_review_no_restore
backups/faz3_10_5c_erp_runtime_ledger_posting_postgres_store_20260426_065438	dir	db_backup_candidate	HIGH	review_db_dump	-1	3	db_backup_or_volume_review_no_restore
backups/faz3_10_5c_erp_runtime_ledger_posting_postgres_store_20260426_065438/ledgerpost_before_postgres_store.tar.gz	file	db_backup_candidate	HIGH	review_db_dump	8288	3	db_backup_or_volume_review_no_restore
backups/faz3_10_5c_fix_ledgerpost_direction_20260426_065727	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_5c_fix_ledgerpost_direction_20260426_065727/ledgerpost_before_direction_fix.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	8854	3	backup_retention_review_no_delete
backups/faz3_10_5c_fix_ledgerpost_journal_line_id_20260426_065633	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_5c_fix_ledgerpost_journal_line_id_20260426_065633/ledgerpost_before_journal_line_id_fix.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	8295	3	backup_retention_review_no_delete
backups/faz3_10_5c_fix_ledgerpost_pgx_import_20260426_065526	dir	db_backup_candidate	HIGH	review_db_dump	-1	3	db_backup_or_volume_review_no_restore
backups/faz3_10_5c_fix_ledgerpost_pgx_import_20260426_065526/ledgerpost_before_pgx_import_fix.tar.gz	file	db_backup_candidate	HIGH	review_db_dump	8291	3	db_backup_or_volume_review_no_restore
backups/faz3_10_5c_fix_ledgerpost_status_autodetect_20260426_065956	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_5c_fix_ledgerpost_status_autodetect_20260426_065956/ledgerpost_before_status_autodetect_fix.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	8925	3	backup_retention_review_no_delete
backups/faz3_10_5c_fix_ledgerpost_status_mapping_20260426_065822	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_5c_fix_ledgerpost_status_mapping_20260426_065822/ledgerpost_before_status_mapping_fix.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	8865	3	backup_retention_review_no_delete
backups/faz3_10_5c_fix_ledgerpost_status_order_column_20260426_070057	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_5c_fix_ledgerpost_status_order_column_20260426_070057/ledgerpost_before_status_order_column_fix.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	8881	3	backup_retention_review_no_delete
backups/faz3_10_5d_erp_runtime_ledgerpost_muhur_20260426_070143	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_5d_erp_runtime_ledgerpost_muhur_20260426_070143/docs_erp_before_ledgerpost_muhur.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	2026	3	backup_retention_review_no_delete
backups/faz3_10_5d_erp_runtime_ledgerpost_muhur_20260426_070143/ledgerpost_before_muhur.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	8948	3	backup_retention_review_no_delete
backups/faz3_10_6a_erp_runtime_cashbank_payment_orchestrator_contract_20260426_070252	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_6b_erp_runtime_cashbank_payment_default_impl_20260426_070419	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
