path	type	category	risk	size_bytes	note
docs/phase4/16_1_reporting_query_contract_standard.md	file	generated_report	LOW	1159	phase4_evidence_keep
docs/phase4/16_1_reporting_query_contracts.md	file	generated_report	LOW	2533	phase4_evidence_keep
docs/phase4/16_1_reporting_query_endpoint_inventory.tsv	file	generated_report	LOW	656	phase4_evidence_keep
docs/phase4/16_1_reporting_query_endpoint_manifest.md	file	generated_report	LOW	3602	phase4_evidence_keep
docs/phase4/16_2_readmodel_repository_inventory.tsv	file	generated_report	LOW	421	phase4_evidence_keep
docs/phase4/16_2_readmodel_repository_layer_report.md	file	generated_report	LOW	4318	phase4_evidence_keep
docs/phase4/16_2_readmodel_repository_layer_standard.md	file	generated_report	LOW	1009	phase4_evidence_keep
docs/phase4/16_3_reporting_service_inventory.tsv	file	generated_report	LOW	493	phase4_evidence_keep
docs/phase4/16_3_reporting_service_layer_report.md	file	generated_report	LOW	4632	phase4_evidence_keep
docs/phase4/16_3_reporting_service_layer_standard.md	file	generated_report	LOW	1186	phase4_evidence_keep
docs/phase4/16_4_reporting_api_endpoint_inventory.tsv	file	generated_report	LOW	659	phase4_evidence_keep
docs/phase4/16_4_reporting_api_endpoint_skeleton_report.md	file	generated_report	LOW	3204	phase4_evidence_keep
docs/phase4/16_4_reporting_api_endpoint_skeleton_standard.md	file	generated_report	LOW	1272	phase4_evidence_keep
docs/phase4/16_5_reporting_query_smoke_final_closure_report.md	file	generated_report	LOW	10897	phase4_evidence_keep
docs/phase4/16_5_reporting_query_smoke_final_closure_standard.md	file	generated_report	LOW	1336	phase4_evidence_keep
docs/phase4/16_5_reporting_query_smoke_inventory.tsv	file	generated_report	LOW	183	phase4_evidence_keep
docs/phase4/16_reporting_final_closure_report.md	file	generated_report	LOW	694	phase4_evidence_keep
docs/phase4/17_1_reporting_gateway_route_premanifest.md	file	generated_report	LOW	1386	phase4_evidence_keep
docs/phase4/17_1_reporting_runtime_wiring_inventory.tsv	file	generated_report	LOW	676	phase4_evidence_keep
docs/phase4/17_1_reporting_runtime_wiring_plan.md	file	generated_report	LOW	1615	phase4_evidence_keep
docs/phase4/17_1_reporting_runtime_wiring_plan_standard.md	file	generated_report	LOW	1405	phase4_evidence_keep
docs/phase4/17_1_reporting_runtime_wiring_report.md	file	generated_report	LOW	1610	phase4_evidence_keep
docs/phase4/17_1_reporting_service_entry_contract.md	file	generated_report	LOW	1559	phase4_evidence_keep
docs/phase4/17_2_reporting_api_route_registration_inventory.tsv	file	generated_report	LOW	640	phase4_evidence_keep
docs/phase4/17_2_reporting_api_route_registration_report.md	file	generated_report	LOW	3471	phase4_evidence_keep
docs/phase4/17_2_reporting_api_route_registration_standard.md	file	generated_report	LOW	1154	phase4_evidence_keep
docs/phase4/17_2_reporting_route_registration_manifest.md	file	generated_report	LOW	1166	phase4_evidence_keep
docs/phase4/17_3_gateway_route_manifest_auth_tenant_gate_report.md	file	generated_report	LOW	1858	phase4_evidence_keep
docs/phase4/17_3_gateway_route_manifest_auth_tenant_gate_standard.md	file	generated_report	LOW	1326	phase4_evidence_keep
docs/phase4/17_3_reporting_auth_tenant_gate_contract.md	file	generated_report	LOW	1517	phase4_evidence_keep
docs/phase4/17_3_reporting_gateway_route_inventory.tsv	file	generated_report	LOW	586	phase4_evidence_keep
docs/phase4/17_3_reporting_gateway_route_manifest.md	file	generated_report	LOW	1992	phase4_evidence_keep
docs/phase4/17_4_reporting_runtime_smoke_inventory.tsv	file	generated_report	LOW	351	phase4_evidence_keep
docs/phase4/17_4_reporting_runtime_smoke_test_report.md	file	generated_report	LOW	8662	phase4_evidence_keep
docs/phase4/17_4_reporting_runtime_smoke_test_standard.md	file	generated_report	LOW	1513	phase4_evidence_keep
docs/phase4/17_5_reporting_api_final_closure_inventory.tsv	file	generated_report	LOW	507	phase4_evidence_keep
docs/phase4/17_5_reporting_api_final_closure_report.md	file	generated_report	LOW	17902	phase4_evidence_keep
