path	type	category	permission_category	risk	mode	group_readable	world_readable	executable	key_name_count	secret_key_name_count	dsn_key_name_count	note
internal/platform/auth/jwt.go.ok_l24_perm_struct_1772261975	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	7	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_l24_perm_type_1772261911	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	6	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_l24_permissions_locals_1772261167	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	6	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_l24_permissions_locals_1772261850	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	6	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_l24_rbac_20260228_091211	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	6	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_l26_1772292631	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	7	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_l26_20260228_105329	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	6	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_l26_20260228_105422	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	6	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_remove_dup_scopes_20260227_212828	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	4	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_scopes_redeclared_fix_20260227_212548	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	4	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.pre_clean_20260301_002326	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	3	3	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.pre_compat_20260301_002622	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	1	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.pre_mwfix_20260301_060917	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	5	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.pre_rewrite_20260301_001715	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	7	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt_middleware.go.disabled	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	1	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/middleware	dir	potential_secret_path	dir_or_nonfile	HIGH	0755	NO	NO	NO	0	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/middleware/jwt_middleware.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	4	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/middleware/jwt_middleware_test.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	8	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/rbac.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/rbac.go.ok_l24_rbac_20260228_091211	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/service	dir	potential_secret_path	dir_or_nonfile	HIGH	0755	NO	NO	NO	0	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/service/jwt_service.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	2	0	secret_like_path_only_value_not_printed
internal/platform/auth/service/jwt_service_test.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
internal/platform/kernel/kernel.go.ok_l23_kernel_jwt_realfix_1772253225	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	3	1	0	secret_like_path_only_value_not_printed
internal/platform/publicapi/api_key_contract.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	21	0	0	secret_like_path_only_value_not_printed
internal/platform/publicapi/api_key_service.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	3	0	0	secret_like_path_only_value_not_printed
internal/platform/publicapi/api_key_service_test.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
internal/platform/publicapi/api_key_store.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	secret_like_path_only_value_not_printed
internal/platform/publicapi/api_key_store_test.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
internal/platform/publicapi/app_auth_contract.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	20	0	0	secret_like_path_only_value_not_printed
internal/platform/publicapi/app_auth_service.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	6	1	0	secret_like_path_only_value_not_printed
internal/platform/publicapi/app_auth_service_test.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
internal/platform/publicapi/app_auth_store.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	secret_like_path_only_value_not_printed
internal/platform/publicapi/app_auth_store_test.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
internal/platform/realtime/channel_auth_contract.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	18	0	0	secret_like_path_only_value_not_printed
internal/platform/realtime/channel_auth_service.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	11	0	0	secret_like_path_only_value_not_printed
internal/platform/realtime/channel_auth_service_test.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
internal/platform/realtime/channel_auth_store.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	secret_like_path_only_value_not_printed
internal/platform/realtime/channel_auth_store_test.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
internal/platform/security/service/secret_contract_service.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	11	8	0	secret_like_path_only_value_not_printed
internal/platform/security/service/secret_contract_service_test.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	9	0	0	secret_like_path_only_value_not_printed
internal/platform/security/service/secret_log_redaction_service.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	1	0	secret_like_path_only_value_not_printed
internal/platform/security/service/secret_log_redaction_service_test.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	1	0	0	secret_like_path_only_value_not_printed
internal/platform/security/service/secret_runtime_env_service.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	1	1	0	secret_like_path_only_value_not_printed
internal/platform/security/service/secret_runtime_env_service_test.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	4	0	0	secret_like_path_only_value_not_printed
cmd/api-gateway/gateway_config.go	file	config_file	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	config_path_review
cmd/api-gateway/gateway_config_security_test.go	file	config_file	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	config_path_review
cmd/auth-api	dir	potential_secret_path	dir_or_nonfile	HIGH	0755	NO	NO	NO	0	0	0	secret_like_path_only_value_not_printed
cmd/auth-api/auth_api_main.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	1	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token.go.ok_20260225_211108	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	1	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token.go.ok_20260225_211128	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	1	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token.go.ok_20260226_064413	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	1	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token.go.ok_20260226_064413.ok_20260226_064453	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	1	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token.go.ok_fix_unused_scopes_20260227_213002	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token.go.ok_l19_3_20260227_084237	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	1	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token.go.ok_l21_20260227_204433	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	1	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token.go.ok_l22_20260227_205306	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token.go.ok_l22_fix_20260227_205919	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token.go.ok_l22_fix_20260227_205944	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token.go.ok_l22_scopes_claim_20260227_214011	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token_patch.go	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	1	0	0	secret_like_path_only_value_not_printed
cmd/identity-api/dev_token_stub.go.ok_20260226_065459	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	secret_like_path_only_value_not_printed
deploy/api-gateway/docker-compose.yml	file	config_file	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	config_path_review
deploy/api-gateway/kong.yml	file	config_file	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	config_path_review
deploy/dev/docker-compose.pg.yml	file	config_file	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	config_path_review
deploy/docker-compose.yml	file	config_file	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	config_path_review
deploy/edge/env	dir	env_file	dir_or_nonfile	HIGH	0755	NO	NO	NO	0	0	0	env_path_only_value_not_printed
